Place,Lat,Lon,Globvalue
"Broken Arrow, Oklahoma",36.0526,-95.79082,0.302715716
"Bronx, New York",40.84985,-73.86641,0.152824188
"Brookfield, Wisconsin",43.06057,-88.10648,0.781585921
"Brookline, Massachusetts",42.33176,-71.12116,0.467870436
"Brooklyn Center, Minnesota",45.07608,-93.33273,0
"Brooklyn Park, Minnesota",45.09413,-93.35634,0
"Brooklyn, New York",40.6501,-73.94958,0.391218504
"Broomfield, Colorado",39.92054,-105.08665,0.222047037
"Brownsville, Texas",25.90175,-97.49748,0.628466872
"Brunswick, Ohio",41.23811,-81.8418,0
"Bryan, Texas",30.67436,-96.36996,0.260820492
"Buckeye, Arizona",33.37032,-112.58378,1.239230064
"Buena Park, California",33.86751,-117.99812,0.578080512
"Buffalo Grove, Illinois",42.15141,-87.95979,0
"Buffalo, New York",42.88645,-78.87837,0.156879674
"Bullhead City, Arizona",35.14778,-114.5683,0
"Burbank, California",34.18084,-118.30897,0.223875679
"Burien, Washington",47.47038,-122.34679,0
"Burke, Virginia",38.79345,-77.27165,0
"Burleson, Texas",30.49248,-96.62146,0.160725242
"Burlingame, California",37.5841,-122.36608,0.419250806
"Burlington, North Carolina",36.09569,-79.4378,0.685821264
"Burlington, Vermont",44.47588,-73.21207,0.162350325
"Burnsville, Minnesota",44.76774,-93.27772,0
"Butte, Montana",46.00382,-112.53474,0.125540418
"Butte-Silver Bow, Montana",46.00382,-112.53474,0
"Caldwell, Idaho",43.66294,-116.68736,0.080915284
"Calexico, California",32.67895,-115.49888,0
"Calumet City, Illinois",41.61559,-87.52949,0
"Camarillo, California",34.21639,-119.0376,0
"Cambridge, Massachusetts",42.3751,-71.10561,0.220551724
"Camden, New Jersey",39.92595,-75.11962,0.326515183
"Campbell, California",37.28717,-121.94996,0
"Canton, Michigan",42.30865,-83.48216,0.126962662
"Canton, Ohio",40.79895,-81.37845,0.18309373
"Cantonment, Florida",30.60853,-87.33998,0
"Cape Coral, Florida",26.56285,-81.94953,0.260737854
"Cape Girardeau, Missouri",37.30588,-89.51815,0.515908505
"Carlsbad, California",33.15809,-117.35059,0.64225138
"Carmel, Indiana",39.97837,-86.11804,0.04525222
"Carmel, New York",41.45862,-73.66497,0
"Carmichael, California",38.61713,-121.32828,0
"Carol City, Florida",25.94065,-80.2456,0
"Carol Stream, Illinois",41.91253,-88.13479,0.586968602
"Carpentersville, Illinois",42.12114,-88.25786,0.791272591
"Carrollton, Texas",32.95373,-96.89028,0.117180277
"Carrollwood, Florida",28.05002,-82.49287,0
"Carson City, Nevada",39.1638,-119.7674,0.543413454
"Carson, California",33.83141,-118.28202,0
"Cary, North Carolina",35.79154,-78.78112,0.071186441
"Casa Grande, Arizona",32.8795,-111.75735,0.411959627
"Casas Adobes, Arizona",32.32341,-110.9951,0
"Cascade-Fairwood, Washington",47.44843,-122.15734,0
"Casper, Wyoming",42.86663,-106.31308,0.153035439
"Castle Rock, Colorado",39.37221,-104.85609,0.108124635
"Castro Valley, California",37.6941,-122.08635,0.709666891
